NAMESPACE      NAME                                             READY   STATUS        RESTARTS      AGE     IP           NODE   NOMINATED NODE   READINESS GATES
analytics      clickhouse-74cb6c8bd-xtppg                       1/1     Running       0             20m     10.42.5.5    s3     <none>           <none>
cert-manager   cert-manager-6c4fc6b459-6fpf2                    1/1     Running       0             29m     10.42.0.6    a1     <none>           <none>
cert-manager   cert-manager-cainjector-69b765b887-pxcwj         1/1     Running       0             29m     10.42.0.5    a1     <none>           <none>
cert-manager   cert-manager-webhook-595fd9fdcd-v7mgb            1/1     Running       0             29m     10.42.0.7    a1     <none>           <none>
cnpg-system    barman-cloud-7469fdf6d5-thx65                    1/1     Running       0             27m     10.42.0.9    a1     <none>           <none>
cnpg-system    cnpg-controller-manager-6cdfd5d879-j2pzf         1/1     Running       0             27m     10.42.0.8    a1     <none>           <none>
control        network-policy-probe                             1/1     Terminating   0             13m     10.42.5.7    s3     <none>           <none>
crawler        network-policy-probe                             1/1     Terminating   0             13m     10.42.5.6    s3     <none>           <none>
db             crawler-pg-1                                     1/1     Running       0             25m     10.42.3.4    a2     <none>           <none>
db             crawler-pg-2                                     1/1     Running       0             24m     10.42.4.4    a3     <none>           <none>
db             crawler-pg-pool-55df9fd4f7-89pkg                 1/1     Running       0             15m     10.42.4.8    a3     <none>           <none>
db             crawler-pg-pool-55df9fd4f7-hrmbk                 1/1     Running       0             15m     10.42.3.5    a2     <none>           <none>
infra-test     network-check-a1                                 1/1     Terminating   0             25m     10.42.0.14   a1     <none>           <none>
infra-test     network-check-s3                                 1/1     Terminating   0             25m     10.42.5.2    s3     <none>           <none>
kafka          crawler-kafka-dual-role-0                        1/1     Running       0             22m     10.42.1.2    s1     <none>           <none>
kafka          crawler-kafka-dual-role-1                        1/1     Running       0             22m     10.42.2.2    s2     <none>           <none>
kafka          crawler-kafka-dual-role-2                        1/1     Running       0             22m     10.42.5.4    s3     <none>           <none>
kafka          crawler-kafka-entity-operator-75457f48ff-psc6n   2/2     Running       0             21m     10.42.1.3    s1     <none>           <none>
kafka          debezium-connect-789c959758-l6v7z                1/1     Running       0             14m     10.42.2.5    s2     <none>           <none>
kafka          infra-kafka-validation                           1/1     Terminating   0             6m55s   10.42.0.24   a1     <none>           <none>
kafka          strimzi-cluster-operator-b485c7cc7-24kqk         1/1     Running       0             26m     10.42.0.10   a1     <none>           <none>
keda           keda-admission-545ccc69cb-56brj                  1/1     Running       0             25m     10.42.0.12   a1     <none>           <none>
keda           keda-metrics-apiserver-689b5c7fbb-mx9k2          1/1     Running       0             25m     10.42.0.13   a1     <none>           <none>
keda           keda-operator-d6456cdfc-8lwrh                    1/1     Running       1 (25m ago)   25m     10.42.0.11   a1     <none>           <none>
kube-system    coredns-54996dc9b4-cmll8                         1/1     Running       0             31m     10.42.0.2    a1     <none>           <none>
kube-system    local-path-provisioner-77b9867795-585d7          1/1     Running       0             31m     10.42.0.4    a1     <none>           <none>
kube-system    metrics-server-6dc596dfb8-h9tz2                  1/1     Running       0             31m     10.42.0.3    a1     <none>           <none>
monitoring     alertmanager-b89877b4d-9m78z                     1/1     Running       0             22m     10.42.4.6    a3     <none>           <none>
monitoring     alloy-46xkn                                      1/1     Running       0             5m13s   10.42.4.9    a3     <none>           <none>
monitoring     alloy-b66wz                                      1/1     Running       0             5m13s   10.42.1.4    s1     <none>           <none>
monitoring     alloy-j85kp                                      1/1     Running       0             5m13s   10.42.2.6    s2     <none>           <none>
monitoring     alloy-lbjtm                                      1/1     Running       0             5m13s   10.42.5.8    s3     <none>           <none>
monitoring     alloy-lzq5m                                      1/1     Running       0             5m13s   10.42.0.25   a1     <none>           <none>
monitoring     alloy-qnrsl                                      1/1     Running       0             5m13s   10.42.3.6    a2     <none>           <none>
monitoring     grafana-779c77c668-jpwpb                         1/1     Running       0             22m     10.42.4.7    a3     <none>           <none>
monitoring     loki-9fc6888dc-2rlnn                             1/1     Running       0             2m35s   10.42.3.8    a2     <none>           <none>
monitoring     node-exporter-cqdbt                              1/1     Running       0             22m     10.4.4.3     a2     <none>           <none>
monitoring     node-exporter-d6svd                              1/1     Running       0             22m     10.4.4.17    a3     <none>           <none>
monitoring     node-exporter-j9xqd                              1/1     Running       0             22m     10.4.4.5     s3     <none>           <none>
monitoring     node-exporter-kj4gz                              1/1     Running       0             22m     10.4.4.12    a1     <none>           <none>
monitoring     node-exporter-msk6t                              1/1     Running       0             22m     10.4.4.8     s2     <none>           <none>
monitoring     node-exporter-thjrj                              1/1     Running       0             22m     10.4.4.2     s1     <none>           <none>
monitoring     prometheus-744c4dc9b7-594fl                      1/1     Running       0             22m     10.42.4.5    a3     <none>           <none>
temporal       temporal-admintools-74dc444fb-6zjqd              1/1     Running       0             23m     10.42.0.18   a1     <none>           <none>
temporal       temporal-frontend-64dc78f66d-jzx9f               1/1     Running       0             23m     10.42.0.20   a1     <none>           <none>
temporal       temporal-history-77fd4b7ff8-pngxn                1/1     Running       0             23m     10.42.0.21   a1     <none>           <none>
temporal       temporal-matching-fc4f78f49-s78x9                1/1     Running       0             23m     10.42.0.19   a1     <none>           <none>
temporal       temporal-web-59557d494b-stctb                    1/1     Running       0             23m     10.42.0.16   a1     <none>           <none>
temporal       temporal-worker-7d86789d64-qj82x                 1/1     Running       0             23m     10.42.0.17   a1     <none>           <none>
