namespace	pod	container	imageID
analytics	clickhouse-848f9d86b5-btmjr	clickhouse	docker.io/clickhouse/clickhouse-server@sha256:8a1589a2dd9aca97f5ef61740ac9e29c98193e2ae6a868e9c4808d3d4f11fa5e
cert-manager	cert-manager-6c4fc6b459-6fpf2	cert-manager-controller	quay.io/jetstack/cert-manager-controller@sha256:70f532fd9cfde0b09d55687200942399d89838bc2d5d5b45152eb799a15912b8
cert-manager	cert-manager-cainjector-69b765b887-pxcwj	cert-manager-cainjector	quay.io/jetstack/cert-manager-cainjector@sha256:c85268c64f2e0e76684bf5fe8906caff34b82523561c6affe0fae3546bd87562
cert-manager	cert-manager-webhook-595fd9fdcd-v7mgb	cert-manager-webhook	quay.io/jetstack/cert-manager-webhook@sha256:a60e2dac46dbb8a7f3df95c54ce941012f54c2fe022f0ee55aaa1ab40ed957ae
cnpg-system	barman-cloud-7469fdf6d5-thx65	barman-cloud	ghcr.io/cloudnative-pg/plugin-barman-cloud@sha256:563c680fe7fda3466ca2b1f55a1397ed2ddc9e760360107dd7724f1959c1a536
cnpg-system	cnpg-controller-manager-6cdfd5d879-j2pzf	manager	ghcr.io/cloudnative-pg/cloudnative-pg@sha256:a2701eb97cdd2a34b1fdb2cb51987f544b706e40bec72ae7146cd8580efefebb
db	crawler-pg-1	postgres	ghcr.io/cloudnative-pg/postgresql@sha256:899d3ed526b659d77935dde0e6bf2d69dbbf17d3d8c6486ca8cfd04bd3c18533
db	crawler-pg-2	postgres	ghcr.io/cloudnative-pg/postgresql@sha256:899d3ed526b659d77935dde0e6bf2d69dbbf17d3d8c6486ca8cfd04bd3c18533
db	crawler-pg-pool-55df9fd4f7-89pkg	pgbouncer	ghcr.io/cloudnative-pg/pgbouncer@sha256:29c63434470390355e9e87abe1c3bb38c60b6fa9b06b6cca06dad856f80403ef
db	crawler-pg-pool-55df9fd4f7-hrmbk	pgbouncer	ghcr.io/cloudnative-pg/pgbouncer@sha256:29c63434470390355e9e87abe1c3bb38c60b6fa9b06b6cca06dad856f80403ef
kafka	crawler-kafka-dual-role-0	kafka	quay.io/strimzi/kafka@sha256:fef34b5438e8556cc08c01f3e254e47346f061b53a4e38d4289853777e0ea7f1
kafka	crawler-kafka-dual-role-1	kafka	quay.io/strimzi/kafka@sha256:fef34b5438e8556cc08c01f3e254e47346f061b53a4e38d4289853777e0ea7f1
kafka	crawler-kafka-dual-role-2	kafka	quay.io/strimzi/kafka@sha256:fef34b5438e8556cc08c01f3e254e47346f061b53a4e38d4289853777e0ea7f1
kafka	crawler-kafka-entity-operator-75457f48ff-psc6n	topic-operator	quay.io/strimzi/operator@sha256:77f8fa8121a67561c3418de985783d197f51b8931e9a47f793dc0437dc6bb21f
kafka	crawler-kafka-entity-operator-75457f48ff-psc6n	user-operator	quay.io/strimzi/operator@sha256:77f8fa8121a67561c3418de985783d197f51b8931e9a47f793dc0437dc6bb21f
kafka	crawler-kafka-kafka-exporter-69f968c85c-g65b9	crawler-kafka-kafka-exporter	quay.io/strimzi/kafka@sha256:fef34b5438e8556cc08c01f3e254e47346f061b53a4e38d4289853777e0ea7f1
kafka	debezium-connect-75c5479688-mw9bt	connect	quay.io/debezium/connect@sha256:94641986b4f334304a6ba7f38cb7d86b9cf60ee8abdaaf3acf322a6cdd1f383c
kafka	infra-kafka-validation	reader	quay.io/strimzi/kafka@sha256:fef34b5438e8556cc08c01f3e254e47346f061b53a4e38d4289853777e0ea7f1
kafka	strimzi-cluster-operator-b485c7cc7-24kqk	strimzi-cluster-operator	quay.io/strimzi/operator@sha256:77f8fa8121a67561c3418de985783d197f51b8931e9a47f793dc0437dc6bb21f
keda	keda-admission-545ccc69cb-56brj	keda-admission-webhooks	ghcr.io/kedacore/keda-admission-webhooks@sha256:41f74102aba7959c6e8d08b433ab8a5fd6cae7c5646c78f7fe3de40a52df3439
keda	keda-metrics-apiserver-689b5c7fbb-mx9k2	keda-metrics-apiserver	ghcr.io/kedacore/keda-metrics-apiserver@sha256:27286536a8a775aeeee37a7e343f8ecebb27ebf680ee1181a4f99e82eefb253b
keda	keda-operator-d6456cdfc-8lwrh	keda-operator	ghcr.io/kedacore/keda@sha256:fe74c7b8849586a67ad2201bcb89e7f5ac221ff90399ecaa8fd28427f1ef11e6
kube-system	coredns-54996dc9b4-cmll8	coredns	docker.io/rancher/mirrored-coredns-coredns@sha256:900f9c109f7a33545d3c811516e8376df9019147b750f5ce3e254468769176ea
kube-system	local-path-provisioner-77b9867795-585d7	local-path-provisioner	docker.io/rancher/local-path-provisioner@sha256:e757967a5ec338f6a9b371c5a9688bedaa8c3578ea3dd4db329ea0084be0a86f
kube-system	metrics-server-6dc596dfb8-h9tz2	metrics-server	docker.io/rancher/mirrored-metrics-server@sha256:d9862115e7c7881280d3d75ca26bda8ffc0fc213315979575bf23ce9826205c0
monitoring	alert-journal-cdb87fc6f-5hznr	journal	docker.io/library/python@sha256:faee120f7885a06fcc9677922331391fa690d911c020abb9e8025ff3d908e510
monitoring	alertmanager-5f75f49fd9-8c76r	alertmanager	quay.io/prometheus/alertmanager@sha256:e9733bafb1bdef9b00e25a21f8f99dc26a22224bf16641ad754d1649f4c3357a
monitoring	alloy-46xkn	alloy	docker.io/grafana/alloy@sha256:b8ec653c44235fbe910879145dac3597d66b0aaecf60bcbbe82580767771a839
monitoring	alloy-b66wz	alloy	docker.io/grafana/alloy@sha256:b8ec653c44235fbe910879145dac3597d66b0aaecf60bcbbe82580767771a839
monitoring	alloy-j85kp	alloy	docker.io/grafana/alloy@sha256:b8ec653c44235fbe910879145dac3597d66b0aaecf60bcbbe82580767771a839
monitoring	alloy-lbjtm	alloy	docker.io/grafana/alloy@sha256:b8ec653c44235fbe910879145dac3597d66b0aaecf60bcbbe82580767771a839
monitoring	alloy-lzq5m	alloy	docker.io/grafana/alloy@sha256:b8ec653c44235fbe910879145dac3597d66b0aaecf60bcbbe82580767771a839
monitoring	alloy-qnrsl	alloy	docker.io/grafana/alloy@sha256:b8ec653c44235fbe910879145dac3597d66b0aaecf60bcbbe82580767771a839
monitoring	grafana-55898cf5dd-7zbtn	grafana	docker.io/grafana/grafana@sha256:ac461fb352abc50da10a51c7d02462e9c05488f11f53f14b3ad79a8145f638a0
monitoring	loki-9fc6888dc-2rlnn	loki	docker.io/grafana/loki@sha256:1107dd5274e0ada47e42472b7a7e71f3b2a2fe878878108f3e2f9e51528f0193
monitoring	node-exporter-7vddp	node-exporter	quay.io/prometheus/node-exporter@sha256:1b4e4438faca4dd7e001dd445d161a4a2091b0fededa84093b3a8dfeae1f1be0
monitoring	node-exporter-fxr4s	node-exporter	quay.io/prometheus/node-exporter@sha256:1b4e4438faca4dd7e001dd445d161a4a2091b0fededa84093b3a8dfeae1f1be0
monitoring	node-exporter-k8sdz	node-exporter	quay.io/prometheus/node-exporter@sha256:1b4e4438faca4dd7e001dd445d161a4a2091b0fededa84093b3a8dfeae1f1be0
monitoring	node-exporter-ks8p2	node-exporter	quay.io/prometheus/node-exporter@sha256:1b4e4438faca4dd7e001dd445d161a4a2091b0fededa84093b3a8dfeae1f1be0
monitoring	node-exporter-m4v67	node-exporter	quay.io/prometheus/node-exporter@sha256:1b4e4438faca4dd7e001dd445d161a4a2091b0fededa84093b3a8dfeae1f1be0
monitoring	node-exporter-pzpcz	node-exporter	quay.io/prometheus/node-exporter@sha256:1b4e4438faca4dd7e001dd445d161a4a2091b0fededa84093b3a8dfeae1f1be0
monitoring	prometheus-7f455cd6c8-grzbp	prometheus	quay.io/prometheus/prometheus@sha256:5ce7540c3c00ef4ab0c9d2c995c6a5b9c421f44b4a115d97a2c7af3b1c21cbb0
temporal	temporal-admintools-74dc444fb-6zjqd	admin-tools	docker.io/temporalio/admin-tools@sha256:a9f84fb9a374b2374fe2e67c8efc0468ff3f1c66c8a0b14597ec86e349e62bca
temporal	temporal-frontend-64dc78f66d-jzx9f	temporal-frontend	docker.io/temporalio/server@sha256:c3e752127759616bb1615e0f9ba0e21635aeb5fdeb922de4f371c350955f46ae
temporal	temporal-history-77fd4b7ff8-pngxn	temporal-history	docker.io/temporalio/server@sha256:c3e752127759616bb1615e0f9ba0e21635aeb5fdeb922de4f371c350955f46ae
temporal	temporal-matching-fc4f78f49-s78x9	temporal-matching	docker.io/temporalio/server@sha256:c3e752127759616bb1615e0f9ba0e21635aeb5fdeb922de4f371c350955f46ae
temporal	temporal-web-59557d494b-stctb	temporal-web	docker.io/temporalio/ui@sha256:ff0943fe532b8e33c46cd28b29e81e0ce0b6f55b9ee50a38ef1b437cc4de3fa5
temporal	temporal-worker-7d86789d64-qj82x	temporal-worker	docker.io/temporalio/server@sha256:c3e752127759616bb1615e0f9ba0e21635aeb5fdeb922de4f371c350955f46ae
