NAMESPACE    NAME                               STATUS   VOLUME            CAPACITY   ACCESS MODES   STORAGECLASS          VOLUMEATTRIBUTESCLASS   AGE
analytics    clickhouse-data                    Bound    clickhouse-s3     20Gi       RWO            crawl-ch-local        <unset>                 106m
db           crawler-pg-1                       Bound    pg-a2             30Gi       RWO            crawl-pg-local        <unset>                 109m
db           crawler-pg-2                       Bound    pg-a3             30Gi       RWO            crawl-pg-local        <unset>                 108m
kafka        data-0-crawler-kafka-dual-role-0   Bound    kafka-s1          12Gi       RWO            crawl-kafka-local     <unset>                 105m
kafka        data-0-crawler-kafka-dual-role-1   Bound    kafka-s2          12Gi       RWO            crawl-kafka-local     <unset>                 105m
kafka        data-0-crawler-kafka-dual-role-2   Bound    kafka-s3          12Gi       RWO            crawl-kafka-local     <unset>                 105m
monitoring   alertmanager-data                  Bound    alertmanager-a3   1Gi        RWO            crawl-alert-local     <unset>                 106m
monitoring   grafana-data                       Bound    grafana-a3        2Gi        RWO            crawl-grafana-local   <unset>                 106m
monitoring   loki-data                          Bound    loki-a2           5Gi        RWO            crawl-loki-local      <unset>                 88m
monitoring   prometheus-data                    Bound    prometheus-a3     6Gi        RWO            crawl-prom-local      <unset>                 106m
